status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk,_range_flag,age_group,credit_amount_per_duration,credit_per_person
0 <= ... < 200 DM,7,existing credits paid back duly till now,domestic appliances,2415,... < 100 DM,1 <= ... < 4 years,3,male : single,guarantor,2,real estate,34,none,own,1,skilled employee/official,1,no,yes,1,False,"(30, 40]",345.0,2415.0
... < 100 DM,60,delay in paying off in the past,others,6836,... < 100 DM,... >= 7 years,3,male : single,none,4,unknown/no property,63,none,own,2,skilled employee/official,1,yes,yes,0,True,"(60, 100]",113.93333333333334,6836.0
0 <= ... < 200 DM,18,existing credits paid back duly till now,others,1913,... >= 1000 DM,... < 1 year,3,male : married/widowed,none,3,real estate,36,bank,own,1,skilled employee/official,1,yes,yes,1,False,"(30, 40]",106.27777777777777,1913.0
... < 100 DM,24,existing credits paid back duly till now,radio/television,4020,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,27,stores,own,1,skilled employee/official,1,no,yes,1,False,"(18, 30]",167.5,4020.0
0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),5866,100 <= ... < 500 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,30,none,own,2,skilled employee/official,1,yes,yes,1,False,"(18, 30]",325.8888888888889,5866.0
no checking account,12,critical account/other credits existing,others,1264,unknown/no savings account,... >= 7 years,4,male : single,none,4,unknown/no property,57,none,rent,1,unskilled - resident,1,no,yes,1,False,"(50, 60]",105.33333333333333,1264.0
... >= 200 DM / salary for at least 1 year,12,existing credits paid back duly till now,radio/television,1474,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/life insurance,33,bank,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,False,"(30, 40]",122.83333333333333,1474.0
0 <= ... < 200 DM,45,critical account/other credits existing,domestic appliances,4746,... < 100 DM,... < 1 year,4,male : single,none,2,building society savings agreement/life insurance,25,none,own,2,unskilled - resident,1,no,yes,0,True,"(18, 30]",105.46666666666667,4746.0
no checking account,48,critical account/other credits existing,retraining,6110,... < 100 DM,1 <= ... < 4 years,1,male : single,none,3,unknown/no property,31,bank,for free,1,skilled employee/official,1,yes,yes,1,False,"(30, 40]",127.29166666666667,6110.0
... >= 200 DM / salary for at least 1 year,18,existing credits paid back duly till now,domestic appliances,2100,... < 100 DM,1 <= ... < 4 years,4,male : single,co-applicant,2,real estate,37,stores,own,1,skilled employee/official,1,no,yes,0,True,"(30, 40]",116.66666666666667,2100.0
... >= 200 DM / salary for at least 1 year,10,existing credits paid back duly till now,repairs,1225,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,37,none,own,1,skilled employee/official,1,yes,yes,1,False,"(30, 40]",122.5,1225.0
0 <= ... < 200 DM,9,existing credits paid back duly till now,domestic appliances,458,... < 100 DM,1 <= ... < 4 years,4,male : single,none,3,real estate,24,none,own,1,skilled employee/official,1,no,yes,1,False,"(18, 30]",50.888888888888886,458.0
no checking account,30,existing credits paid back duly till now,domestic appliances,2333,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,2,car or other,30,bank,own,1,management/self-employed/highly qualified employee/officer,1,no,yes,1,False,"(18, 30]",77.76666666666667,2333.0
0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,1158,500 <= ... < 1000 DM,1 <= ... < 4 years,3,male : divorced/separated,none,1,car or other,26,none,own,1,skilled employee/official,1,yes,yes,1,False,"(18, 30]",96.5,1158.0
0 <= ... < 200 DM,18,delay in paying off in the past,education,6204,... < 100 DM,1 <= ... < 4 years,2,male : single,none,4,real estate,44,none,own,1,unskilled - resident,2,yes,yes,1,False,"(40, 50]",344.6666666666667,3102.0
... < 100 DM,30,critical account/other credits existing,car (used),6187,100 <= ... < 500 DM,4 <= ... < 7 years,1,male : married/widowed,none,4,car or other,24,none,rent,2,skilled employee/official,1,no,yes,1,False,"(18, 30]",206.23333333333332,6187.0
... < 100 DM,48,critical account/other credits existing,car (used),6143,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,4,unknown/no property,58,stores,for free,2,unskilled - resident,1,no,yes,0,True,"(50, 60]",127.97916666666667,6143.0
no checking account,11,critical account/other credits existing,car (new),1393,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,car or other,35,none,own,2,management/self-employed/highly qualified employee/officer,1,no,yes,1,False,"(30, 40]",126.63636363636364,1393.0
no checking account,36,existing credits paid back duly till now,domestic appliances,2299,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,4,car or other,39,none,own,1,skilled employee/official,1,no,yes,1,False,"(30, 40]",63.861111111111114,2299.0
... < 100 DM,6,existing credits paid back duly till now,car (used),1352,500 <= ... < 1000 DM,unemployed,1,female : divorced/separated/married,none,2,building society savings agreement/life insurance,23,none,rent,1,unemployed/unskilled - non-resident,1,yes,yes,1,False,"(18, 30]",225.33333333333334,1352.0
no checking account,11,critical account/other credits existing,car (new),7228,... < 100 DM,1 <= ... < 4 years,1,male : single,none,4,building society savings agreement/life insurance,39,none,own,2,unskilled - resident,1,no,yes,1,False,"(30, 40]",657.0909090909091,7228.0
no checking account,12,existing credits paid back duly till now,domestic appliances,2073,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,co-applicant,2,real estate,28,none,own,1,skilled employee/official,1,no,yes,1,False,"(18, 30]",172.75,2073.0
0 <= ... < 200 DM,24,delay in paying off in the past,radio/television,2333,unknown/no savings account,... < 1 year,4,male : single,none,2,building society savings agreement/life insurance,29,bank,own,1,unskilled - resident,1,no,yes,1,False,"(18, 30]",97.20833333333333,2333.0
0 <= ... < 200 DM,27,delay in paying off in the past,car (used),5965,... < 100 DM,... >= 7 years,1,male : single,none,2,car or other,30,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1,False,"(18, 30]",220.92592592592592,5965.0
no checking account,12,existing credits paid back duly till now,domestic appliances,1262,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,car or other,25,none,own,1,skilled employee/official,1,no,yes,1,False,"(18, 30]",105.16666666666667,1262.0
no checking account,18,existing credits paid back duly till now,car (used),3378,unknown/no savings account,1 <= ... < 4 years,2,male : single,none,1,building society savings agreement/life insurance,31,none,own,1,skilled employee/official,1,yes,yes,1,False,"(30, 40]",187.66666666666666,3378.0
0 <= ... < 200 DM,36,delay in paying off in the past,car (new),2225,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown/no property,57,bank,for free,2,skilled employee/official,1,yes,yes,0,True,"(50, 60]",61.80555555555556,2225.0
no checking account,6,all credits at this bank paid back duly,car (new),783,unknown/no savings account,1 <= ... < 4 years,1,male : single,guarantor,2,real estate,26,stores,own,1,unskilled - resident,2,no,yes,1,False,"(18, 30]",130.5,391.5
0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,6468,unknown/no savings account,unemployed,2,male : single,none,1,unknown/no property,52,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,True,"(50, 60]",539.0,6468.0
no checking account,36,critical account/other credits existing,domestic appliances,9566,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,car or other,31,stores,own,2,skilled employee/official,1,no,yes,1,False,"(30, 40]",265.72222222222223,9566.0
... >= 200 DM / salary for at least 1 year,18,existing credits paid back duly till now,car (new),1961,... < 100 DM,... >= 7 years,3,female : divorced/separated/married,none,2,car or other,23,none,own,1,management/self-employed/highly qualified employee/officer,1,no,yes,1,False,"(18, 30]",108.94444444444444,1961.0
... < 100 DM,36,critical account/other credits existing,radio/television,6229,... < 100 DM,... < 1 year,4,female : divorced/separated/married,co-applicant,4,unknown/no property,23,none,rent,2,unskilled - resident,1,yes,yes,0,True,"(18, 30]",173.02777777777777,6229.0
0 <= ... < 200 DM,9,existing credits paid back duly till now,others,1391,... < 100 DM,1 <= ... < 4 years,2,male : married/widowed,none,1,real estate,27,bank,own,1,skilled employee/official,1,yes,yes,1,False,"(18, 30]",154.55555555555554,1391.0
0 <= ... < 200 DM,15,critical account/other credits existing,domestic appliances,1537,unknown/no savings account,... >= 7 years,4,male : single,guarantor,4,real estate,50,none,own,2,skilled employee/official,1,yes,yes,1,False,"(40, 50]",102.46666666666667,1537.0
0 <= ... < 200 DM,36,no credits taken/all credits paid back duly,others,1953,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown/no property,61,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,True,"(60, 100]",54.25,1953.0
0 <= ... < 200 DM,48,no credits taken/all credits paid back duly,others,14421,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,25,none,own,1,skilled employee/official,1,yes,yes,0,True,"(18, 30]",300.4375,14421.0
no checking account,24,existing credits paid back duly till now,domestic appliances,3181,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,26,none,own,1,skilled employee/official,1,yes,yes,1,False,"(18, 30]",132.54166666666666,3181.0
no checking account,27,existing credits paid back duly till now,education,5190,unknown/no savings account,... >= 7 years,4,male : single,none,4,building society savings agreement/life insurance,48,none,own,4,skilled employee/official,2,yes,yes,1,False,"(40, 50]",192.22222222222223,2595.0
no checking account,12,existing credits paid back duly till now,domestic appliances,2171,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,2,car or other,29,bank,own,1,skilled employee/official,1,no,yes,1,False,"(18, 30]",180.91666666666666,2171.0
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1007,... >= 1000 DM,1 <= ... < 4 years,4,male : married/widowed,none,1,real estate,22,none,own,1,skilled employee/official,1,no,yes,1,False,"(18, 30]",83.91666666666667,1007.0
no checking account,36,existing credits paid back duly till now,retraining,1819,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,unknown/no property,37,stores,for free,1,skilled employee/official,1,yes,yes,0,True,"(30, 40]",50.52777777777778,1819.0
no checking account,36,existing credits paid back duly till now,domestic appliances,2394,unknown/no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,car or other,25,none,own,1,skilled employee/official,1,no,yes,1,False,"(18, 30]",66.5,2394.0
no checking account,36,existing credits paid back duly till now,car (used),8133,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,building society savings agreement/life insurance,30,bank,own,1,skilled employee/official,1,no,yes,1,False,"(18, 30]",225.91666666666666,8133.0
no checking account,7,critical account/other credits existing,domestic appliances,730,unknown/no savings account,... >= 7 years,4,male : single,none,2,building society savings agreement/life insurance,46,none,rent,2,unskilled - resident,1,yes,yes,1,False,"(40, 50]",104.28571428571429,730.0
... < 100 DM,8,critical account/other credits existing,furniture/equipment,1164,... < 100 DM,... >= 7 years,3,male : single,none,4,unknown/no property,51,bank,for free,2,management/self-employed/highly qualified employee/officer,2,yes,yes,1,False,"(50, 60]",145.5,582.0
0 <= ... < 200 DM,42,critical account/other credits existing,others,5954,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,1,real estate,41,bank,own,2,unskilled - resident,1,no,yes,1,False,"(40, 50]",141.76190476190476,5954.0
... < 100 DM,36,existing credits paid back duly till now,retraining,1977,unknown/no savings account,... >= 7 years,4,male : single,none,4,unknown/no property,40,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,True,"(30, 40]",54.916666666666664,1977.0
... < 100 DM,12,critical account/other credits existing,car (used),1526,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown/no property,66,none,for free,2,management/self-employed/highly qualified employee/officer,1,no,yes,1,False,"(60, 100]",127.16666666666667,1526.0
... < 100 DM,42,existing credits paid back duly till now,domestic appliances,3965,... < 100 DM,... < 1 year,4,male : single,none,3,car or other,34,none,own,1,skilled employee/official,1,no,yes,0,True,"(30, 40]",94.4047619047619,3965.0
0 <= ... < 200 DM,11,delay in paying off in the past,domestic appliances,4771,... < 100 DM,4 <= ... < 7 years,2,male : single,none,4,building society savings agreement/life insurance,51,none,own,1,skilled employee/official,1,no,yes,1,False,"(50, 60]",433.72727272727275,4771.0
no checking account,54,no credits taken/all credits paid back duly,car (used),9436,unknown/no savings account,1 <= ... < 4 years,2,male : single,none,2,building society savings agreement/life insurance,39,none,own,1,unskilled - resident,2,no,yes,1,False,"(30, 40]",174.74074074074073,4718.0
0 <= ... < 200 DM,30,existing credits paid back duly till now,radio/television,3832,... < 100 DM,... < 1 year,2,male : married/widowed,none,1,building society savings agreement/life insurance,22,none,own,1,skilled employee/official,1,no,yes,1,False,"(18, 30]",127.73333333333333,3832.0
no checking account,24,existing credits paid back duly till now,domestic appliances,5943,unknown/no savings account,... < 1 year,1,female : divorced/separated/married,none,1,car or other,44,none,own,2,skilled employee/official,1,yes,yes,0,True,"(40, 50]",247.625,5943.0
no checking account,15,existing credits paid back duly till now,domestic appliances,1213,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,3,building society savings agreement/life insurance,47,stores,own,1,skilled employee/official,1,yes,yes,1,False,"(40, 50]",80.86666666666666,1213.0
no checking account,18,existing credits paid back duly till now,others,1568,100 <= ... < 500 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,4,building society savings agreement/life insurance,24,none,rent,1,unskilled - resident,1,no,yes,1,False,"(18, 30]",87.11111111111111,1568.0
... < 100 DM,24,existing credits paid back duly till now,furniture/equipment,1755,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,guarantor,4,real estate,58,none,own,1,unskilled - resident,1,yes,yes,1,False,"(50, 60]",73.125,1755.0
... < 100 DM,10,existing credits paid back duly till now,domestic appliances,2315,... < 100 DM,... >= 7 years,3,male : single,none,4,real estate,52,none,own,1,unskilled - resident,1,no,yes,1,False,"(50, 60]",231.5,2315.0
no checking account,12,critical account/other credits existing,others,1412,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,2,real estate,29,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1,False,"(18, 30]",117.66666666666667,1412.0
0 <= ... < 200 DM,18,critical account/other credits existing,radio/television,1295,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/life insurance,27,none,own,2,skilled employee/official,1,no,yes,1,False,"(18, 30]",71.94444444444444,1295.0
0 <= ... < 200 DM,36,existing credits paid back duly till now,retraining,12612,100 <= ... < 500 DM,1 <= ... < 4 years,1,male : single,none,4,unknown/no property,47,none,for free,1,skilled employee/official,2,yes,yes,0,True,"(40, 50]",350.3333333333333,6306.0
... < 100 DM,18,existing credits paid back duly till now,car (new),2249,100 <= ... < 500 DM,4 <= ... < 7 years,4,male : single,none,3,car or other,30,none,own,1,management/self-employed/highly qualified employee/officer,2,yes,yes,1,False,"(18, 30]",124.94444444444444,1124.5
... < 100 DM,12,no credits taken/all credits paid back duly,education,1108,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,real estate,28,none,own,2,skilled employee/official,1,no,yes,0,True,"(18, 30]",92.33333333333333,1108.0
no checking account,12,critical account/other credits existing,domestic appliances,618,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,56,none,own,1,skilled employee/official,1,no,yes,1,False,"(50, 60]",51.5,618.0
... < 100 DM,12,critical account/other credits existing,car (used),1409,... < 100 DM,... >= 7 years,4,male : single,none,3,real estate,54,none,own,1,skilled employee/official,1,no,yes,1,False,"(50, 60]",117.41666666666667,1409.0
no checking account,12,critical account/other credits existing,domestic appliances,797,unknown/no savings account,... >= 7 years,4,female : divorced/separated/married,none,3,building society savings agreement/life insurance,33,bank,own,1,unskilled - resident,2,no,yes,0,True,"(30, 40]",66.41666666666667,398.5
... >= 200 DM / salary for at least 1 year,24,critical account/other credits existing,radio/television,3617,unknown/no savings account,... >= 7 years,4,male : single,co-applicant,4,unknown/no property,20,none,rent,2,skilled employee/official,1,no,yes,1,False,"(18, 30]",150.70833333333334,3617.0
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1318,... >= 1000 DM,... >= 7 years,4,male : single,none,4,real estate,54,none,own,1,skilled employee/official,1,yes,yes,1,False,"(50, 60]",109.83333333333333,1318.0
0 <= ... < 200 DM,54,no credits taken/all credits paid back duly,others,15945,... < 100 DM,... < 1 year,3,male : single,none,4,unknown/no property,58,none,rent,1,skilled employee/official,1,yes,yes,0,True,"(50, 60]",295.27777777777777,15945.0
no checking account,12,critical account/other credits existing,retraining,2012,unknown/no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,2,car or other,61,none,own,1,skilled employee/official,1,no,yes,1,False,"(60, 100]",167.66666666666666,2012.0
0 <= ... < 200 DM,18,existing credits paid back duly till now,others,2622,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,none,4,car or other,34,none,own,1,skilled employee/official,1,no,yes,1,False,"(30, 40]",145.66666666666666,2622.0
0 <= ... < 200 DM,36,critical account/other credits existing,domestic appliances,2337,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,36,none,own,1,skilled employee/official,1,no,yes,1,False,"(30, 40]",64.91666666666667,2337.0
0 <= ... < 200 DM,20,delay in paying off in the past,car (used),7057,unknown/no savings account,4 <= ... < 7 years,3,male : single,none,4,building society savings agreement/life insurance,36,bank,rent,2,management/self-employed/highly qualified employee/officer,2,yes,yes,1,False,"(30, 40]",352.85,3528.5
no checking account,24,existing credits paid back duly till now,car (new),1469,100 <= ... < 500 DM,... >= 7 years,4,male : married/widowed,none,4,real estate,41,none,rent,1,unskilled - resident,1,no,yes,1,False,"(40, 50]",61.208333333333336,1469.0
0 <= ... < 200 DM,36,existing credits paid back duly till now,domestic appliances,2323,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,car or other,24,none,rent,1,skilled employee/official,1,no,yes,1,False,"(18, 30]",64.52777777777777,2323.0
no checking account,6,delay in paying off in the past,domestic appliances,932,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee/official,1,no,yes,1,False,"(18, 30]",155.33333333333334,932.0
0 <= ... < 200 DM,9,critical account/other credits existing,radio/television,1919,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,car or other,35,none,rent,1,skilled employee/official,1,yes,yes,1,False,"(30, 40]",213.22222222222223,1919.0
no checking account,12,existing credits paid back duly till now,car (used),2445,unknown/no savings account,... < 1 year,2,male : married/widowed,none,4,car or other,26,none,rent,1,skilled employee/official,1,yes,yes,1,False,"(18, 30]",203.75,2445.0
0 <= ... < 200 DM,24,critical account/other credits existing,furniture/equipment,11938,... < 100 DM,1 <= ... < 4 years,2,male : single,co-applicant,3,car or other,39,none,own,2,management/self-employed/highly qualified employee/officer,2,yes,yes,0,True,"(30, 40]",497.4166666666667,5969.0
no checking account,18,all credits at this bank paid back duly,car (new),6458,... < 100 DM,... >= 7 years,2,male : single,none,4,unknown/no property,39,bank,own,2,management/self-employed/highly qualified employee/officer,2,yes,yes,0,True,"(30, 40]",358.77777777777777,3229.0
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),6078,... < 100 DM,4 <= ... < 7 years,2,male : single,none,2,car or other,32,none,own,1,skilled employee/official,1,no,yes,1,False,"(30, 40]",506.5,6078.0
... < 100 DM,24,existing credits paid back duly till now,radio/television,7721,unknown/no savings account,... < 1 year,1,female : divorced/separated/married,none,2,building society savings agreement/life insurance,30,none,own,1,skilled employee/official,1,yes,no,1,False,"(18, 30]",321.7083333333333,7721.0
0 <= ... < 200 DM,14,existing credits paid back duly till now,others,1410,500 <= ... < 1000 DM,... >= 7 years,1,male : married/widowed,none,2,real estate,35,none,own,1,skilled employee/official,1,yes,yes,1,False,"(30, 40]",100.71428571428571,1410.0
0 <= ... < 200 DM,6,delay in paying off in the past,others,1449,100 <= ... < 500 DM,... >= 7 years,1,male : divorced/separated,none,2,car or other,31,bank,own,2,skilled employee/official,2,no,yes,1,False,"(30, 40]",241.5,724.5
... >= 200 DM / salary for at least 1 year,15,existing credits paid back duly till now,retraining,392,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,23,none,rent,1,skilled employee/official,1,yes,yes,1,False,"(18, 30]",26.133333333333333,392.0
0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),6260,... < 100 DM,4 <= ... < 7 years,3,male : single,none,3,real estate,28,none,rent,1,unskilled - resident,1,no,yes,1,False,"(18, 30]",347.77777777777777,6260.0
no checking account,36,critical account/other credits existing,car (new),7855,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,25,stores,own,2,skilled employee/official,1,yes,yes,0,True,"(18, 30]",218.19444444444446,7855.0
... < 100 DM,12,existing credits paid back duly till now,domestic appliances,1680,500 <= ... < 1000 DM,... >= 7 years,3,male : married/widowed,none,1,real estate,35,none,own,1,skilled employee/official,1,no,yes,1,False,"(30, 40]",140.0,1680.0
no checking account,48,critical account/other credits existing,domestic appliances,3578,unknown/no savings account,... >= 7 years,4,male : single,none,1,real estate,47,none,own,1,skilled employee/official,1,yes,yes,1,False,"(40, 50]",74.54166666666667,3578.0
